	Source file	DateTime	Date	Time	Duration(s)	Comments	Final207_235	Final207_235_Int2SE	Final207_235_Prop2SE	Final206_238	Final206_238_Int2SE	Final206_238_Prop2SE	Final238_206	Final238_206_Prop2SE	Final207_206	Final207_206_Int2SE	Final207_206_Prop2SE	Final208_232	Final208_232_Int2SE	Final206_208	Final206_208_Int2SE	FinalAge206_238	FinalAge206_238_Int2SE	FinalAge206_238_Prop2SE	FinalAge207_235	FinalAge207_235_Int2SE	FinalAge207_235_Prop2SE	FinalAge208_232	FinalAge208_232_Int2SE	Final206_204	Final206_204_Int2SE	Final207_204	Final207_204_Int2SE	Final208_204	Final208_204_Int2SE	Approx_U_PPM	Approx_U_PPM_Int2SE	Approx_Th_PPM	Approx_Th_PPM_Int2SE	Approx_Pb_PPM	Approx_Pb_PPM_Int2SE	FInal_U_Th_Ratio	FInal_U_Th_Ratio_Int2SE	Final238_206	Final238_206_Int2SE	FinalAge207_206	FinalAge207_206_Int2SE	FinalDiscPercent	FinalDiscPercent_Int2SE	FinalAnd207_235	FinalAnd207_235_Int2SE	FinalAnd207_235_Prop2SE	FinalAnd206_238	FinalAnd206_238_Int2SE	FinalAnd206_238_Prop2SE	FinalAnd208_232	FinalAnd208_232_Int2SE	FinalAnd238_206	FinalAnd238_206_Int2SE	FinalAnd207_206	FinalAnd207_206_Int2SE	FinalAgeAnd207_206	FinalAgeAnd207_206_Int2SE	FinalAgeAnd207_235	FinalAgeAnd207_235_Int2SE	FinalAgeAnd207_235_Prop2SE	FinalAgeAnd206_238	FinalAgeAnd206_238_Int2SE	FinalAgeAnd206_238_Prop2SE	FinalAgeAnd208_232	FinalAgeAnd208_232_Int2SE	FinalFracCommonPb	FinalFracCommonPb_Int2SE	FinalFracLostPb	FinalFracLostPb_Int2SE	AndersenSolution	AndersenSolution_Int2SE	FinalPbC207_235	FinalPbC207_235_Int2SE	FinalPbC207_235_Prop2SE	FinalPbC206_238	FinalPbC206_238_Int2SE	FinalPbC206_238_Prop2SE	FinalPbC208_232	FinalPbC208_232_Int2SE	FinalPbC207_206	FinalPbC207_206_Int2SE	FinalPbC238_206	FinalPbC238_206_Int2SE	FinalAgePbC207_206	FinalAgePbC207_206_Int2SE	FinalAgePbC207_235	FinalAgePbC207_235_Int2SE	FinalAgePbC207_235_Prop2SE	FinalAgePbC206_238	FinalAgePbC206_238_Int2SE	FinalAgePbC206_238_Prop2SE	FinalAgePbC208_232	FinalAgePbC208_232_Int2SE	ExtraMetaData
TS14_28	VP-X-TS-14_33.FIN2	04/08/2012 (7) 06:34:20.24	04/08/2012 (7)	06:34:20.24	19.97	VP-X-TS-14_33.FIN2	0.862	0.040	0.049	0.1002	0.0021	0.0057		0.5677268	0.0617	0.0028	0.0032	no value	NAN	no value	NAN	616	12	33	630	21	25	no value	NAN	74	30	3.7	1.8	30	15	no value	NAN	no value	NAN	no value	NAN	no value	NAN	9.98004	0.22	666	59	11.3	1.4	0.834	0.024	0.030	0.1001	0.0022	0.0060	no value	NAN	10.02	0.24	0.06013	0.00057	608	21	618	13	16	615	13	35	no value	NAN	0.0008	0.0035	0.0008	0.0035	0.156	0.036	-1.57	0.45	0.55	0.0783	0.0041	0.011	no value	NAN	-0.32	0.11	15.0	1.4	1990	250	560	160	190	484	25	66	no value	NAN	FILENAME: VP-X-TS-14_33.FIN2;
TS14_29	VP-X-TS-14_34.FIN2	04/08/2012 (7) 06:35:40.25	04/08/2012 (7)	06:35:40.25	16.563	VP-X-TS-14_34.FIN2	1.050	0.045	0.053	0.1182	0.0024	0.0058		0.4151385	0.0649	0.0027	0.0030	no value	NAN	no value	NAN	721	14	34	734	22	26	no value	NAN	46	32	3.0	2.1	7.9	6.0	no value	NAN	no value	NAN	no value	NAN	no value	NAN	8.460237	0.17	835	48	9.8	1.2	1.042	0.031	0.036	0.1186	0.0027	0.0065	no value	NAN	8.54	0.19	0.06369	0.00064	729	20	721	15	18	722	16	37	no value	NAN	-0.0004	0.0033	-0.0004	0.0033	0.152	0.039	-1.08	0.46	0.54	0.1015	0.0049	0.012	no value	NAN	-0.20	0.15	11.4	1.9	1950	200	500	230	270	621	29	68	no value	NAN	FILENAME: VP-X-TS-14_34.FIN2;
TS14_30	VP-X-TS-14_35.FIN2	04/08/2012 (7) 06:37:00.24	04/08/2012 (7)	06:37:00.24	19.97	VP-X-TS-14_35.FIN2	1.609	0.056	0.063	0.1270	0.0017	0.0056		0.3472007	0.0937	0.0026	0.0030	no value	NAN	no value	NAN	770.2	9.8	32	968	22	24	no value	NAN	262	36	24.0	3.2	60	110	no value	NAN	no value	NAN	no value	NAN	no value	NAN	7.874016	0.11	1480	48	17.6	1.4	1.101	0.020	0.022	0.1226	0.0016	0.0053	no value	NAN	8.20	0.11	0.06511	0.00038	776	12	753.0	9.6	11	745.3	9.4	31	no value	NAN	0.0335	0.0032	0.0335	0.0032	0.0	1.0	0.16	0.13	0.15	0.1137	0.0019	0.0063	no value	NAN	0.0080	0.0089	8.81	0.15	710	140	268	86	96	694	11	37	no value	NAN	FILENAME: VP-X-TS-14_35.FIN2;
TS14_31	VP-X-TS-14_36.FIN2	04/08/2012 (7) 06:39:41.24	04/08/2012 (7)	06:39:41.24	19.97	VP-X-TS-14_36.FIN2	1.278	0.027	0.039	0.1458	0.0020	0.0057		0.2681389	0.0652	0.0012	0.0019	no value	NAN	no value	NAN	878	11	32	834	12	17	no value	NAN	410	100	28.0	7.2	40	11	no value	NAN	no value	NAN	no value	NAN	no value	NAN	6.858711	0.094	773	25	5.84	0.64	1.376	0.029	0.042	0.1468	0.0022	0.0062	no value	NAN	6.795	0.099	0.06805	0.00050	870	15	878	12	18	882	12	35	no value	NAN	-0.0055	0.0016	-0.0055	0.0016	0.210	0.038	0.41	0.13	0.18	0.1384	0.0022	0.0063	no value	NAN	0.0205	0.0069	7.26	0.12	800	130	359	89	130	836	13	36	no value	NAN	FILENAME: VP-X-TS-14_36.FIN2;
TS14_32	VP-X-TS-14_37.FIN2	04/08/2012 (7) 06:41:00.24	04/08/2012 (7)	06:41:00.24	19.97	VP-X-TS-14_37.FIN2	1.153	0.045	0.053	0.1284	0.0026	0.0059		0.3578673	0.0658	0.0021	0.0026	no value	NAN	no value	NAN	778	15	34	777	21	25	no value	NAN	5	29	1.1	1.9	5.1	8.3	no value	NAN	no value	NAN	no value	NAN	no value	NAN	7.788162	0.15	814	44	8.39	0.96	1.165	0.033	0.039	0.1287	0.0027	0.0061	no value	NAN	7.78	0.15	0.06589	0.00076	798	23	784	15	18	780	15	35	no value	NAN	-0.0024	0.0026	-0.0024	0.0026	0.168	0.037	-1.84	0.57	0.67	0.1027	0.0053	0.012	no value	NAN	-0.232	0.067	10.75	0.68	1920	160	640	170	210	630	30	69	no value	NAN	FILENAME: VP-X-TS-14_37.FIN2;
TS14_33	VP-X-TS-14_39.FIN2	04/08/2012 (7) 06:43:41.23	04/08/2012 (7)	06:43:41.23	14.517	VP-X-TS-14_39.FIN2	0.919	0.022	0.036	0.1137	0.0019	0.0057		0.440914	0.0608	0.0011	0.0019	no value	NAN	no value	NAN	694	11	33	665	11	18	no value	NAN	260	120	15.7	8.3	124	71	no value	NAN	no value	NAN	no value	NAN	no value	NAN	8.795075	0.15	639	28	4.57	0.60	0.975	0.021	0.034	0.1139	0.0019	0.0058	no value	NAN	8.82	0.15	0.06258	0.00053	700	17	690	11	17	696	11	34	no value	NAN	-0.0031	0.0014	-0.0031	0.0014	0.273	0.045	0.30	0.12	0.18	0.1080	0.0021	0.0062	no value	NAN	0.0202	0.0078	9.24	0.18	710	140	281	84	130	661	12	36	no value	NAN	FILENAME: VP-X-TS-14_39.FIN2;
TS14_34	VP-X-TS-14_40.FIN2	04/08/2012 (7) 06:45:00.24	04/08/2012 (7)	06:45:00.24	19.97	VP-X-TS-14_40.FIN2	2.710	0.065	0.071	0.2406	0.0044	0.0069		0.1191949	0.0838	0.0020	0.0025	no value	NAN	no value	NAN	1390	23	36	1334	18	20	no value	NAN	221	44	16.6	3.4	32.6	6.6	no value	NAN	no value	NAN	no value	NAN	no value	NAN	4.156276	0.076	1303	25	8.44	0.81	2.960	0.093	0.10	0.2418	0.0048	0.0076	no value	NAN	4.133	0.085	0.0876	0.0011	1374	24	1396	24	26	1399	25	39	no value	NAN	-0.0081	0.0030	-0.0081	0.0030	0.147	0.035	-0.53	0.42	0.46	0.2131	0.0054	0.0084	no value	NAN	-0.027	0.016	4.73	0.13	1010	190	630	170	180	1243	29	45	no value	NAN	FILENAME: VP-X-TS-14_40.FIN2;
TS14_35	VP-X-TS-14_41.FIN2	04/08/2012 (7) 06:49:01.24	04/08/2012 (7)	06:49:01.24	19.97	VP-X-TS-14_41.FIN2	1.346	0.039	0.048	0.1492	0.0029	0.0061		0.2740263	0.0665	0.0018	0.0024	no value	NAN	no value	NAN	897	16	34	867	16	20	no value	NAN	97	24	6.8	1.6	18.3	4.7	no value	NAN	no value	NAN	no value	NAN	no value	NAN	6.702413	0.13	838	28	7.67	0.86	1.430	0.041	0.050	0.1496	0.0031	0.0065	no value	NAN	6.70	0.14	0.06924	0.00068	902	20	897	17	21	898	17	36	no value	NAN	-0.0054	0.0025	-0.0054	0.0025	0.180	0.037	-1.45	0.38	0.47	0.1233	0.0041	0.0085	no value	NAN	-0.100	0.025	8.20	0.28	1170	230	230	200	240	748	23	48	no value	NAN	FILENAME: VP-X-TS-14_41.FIN2;
TS14_36	VP-X-TS-14_42.FIN2	04/08/2012 (7) 06:50:21.28	04/08/2012 (7)	06:50:21.28	11.204	VP-X-TS-14_42.FIN2	1.255	0.043	0.052	0.1366	0.0028	0.0060		0.321551	0.0681	0.0018	0.0024	no value	NAN	no value	NAN	825	16	34	824	19	23	no value	NAN	153	67	10.9	4.2	33	15	no value	NAN	no value	NAN	no value	NAN	no value	NAN	7.320644	0.15	900	41	5.51	0.84	1.253	0.038	0.045	0.1357	0.0030	0.0063	no value	NAN	7.35	0.16	0.06766	0.00078	854	24	825	17	20	822	17	36	no value	NAN	0.0006	0.0024	0.0006	0.0024	0.247	0.052	-0.37	0.24	0.29	0.1215	0.0033	0.0071	no value	NAN	-0.024	0.015	8.26	0.23	870	200	0	240	290	739	19	41	no value	NAN	FILENAME: VP-X-TS-14_42.FIN2;
TS14_37	VP-X-TS-14_43.FIN2	04/08/2012 (7) 06:51:41.24	04/08/2012 (7)	06:51:41.24	19.97	VP-X-TS-14_43.FIN2	1.058	0.036	0.045	0.1119	0.0018	0.0056		0.4472268	0.0687	0.0021	0.0026	no value	NAN	no value	NAN	684	10	32	731	18	22	no value	NAN	96	25	7.5	2.4	18.7	4.7	no value	NAN	no value	NAN	no value	NAN	no value	NAN	8.93655	0.14	898	45	8.25	0.99	0.952	0.021	0.026	0.1108	0.0018	0.0057	no value	NAN	9.03	0.15	0.06299	0.00056	706	18	679	11	14	678	11	34	no value	NAN	0.0058	0.0026	0.0058	0.0026	0.180	0.037	-1.35	0.29	0.36	0.0915	0.0031	0.0097	no value	NAN	-0.128	0.029	11.18	0.39	1420	360	-80	240	300	565	19	58	no value	NAN	FILENAME: VP-X-TS-14_43.FIN2;
TS14_38	VP-X-TS-14_44.FIN2	04/08/2012 (7) 06:53:01.24	04/08/2012 (7)	06:53:01.24	19.97	VP-X-TS-14_44.FIN2	1.663	0.034	0.044	0.1667	0.0023	0.0058		0.2087165	0.0740	0.0012	0.0019	no value	NAN	no value	NAN	995	13	32	995	13	17	no value	NAN	300	57	22.6	4.4	82	16	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.9988	0.087	1040	18	4.76	0.51	1.670	0.036	0.046	0.1665	0.0024	0.0060	no value	NAN	6.021	0.092	0.07304	0.00058	1012	16	997	13	17	993	13	33	no value	NAN	0.0004	0.0015	0.0004	0.0015	0.272	0.039	0.42	0.16	0.21	0.1555	0.0028	0.0070	no value	NAN	0.0210	0.0072	6.47	0.12	670	120	439	91	120	931	16	39	no value	NAN	FILENAME: VP-X-TS-14_44.FIN2;
TS14_39	VP-X-TS-14_46.FIN2	04/08/2012 (7) 06:57:01.24	04/08/2012 (7)	06:57:01.24	19.97	VP-X-TS-14_46.FIN2	1.532	0.030	0.041	0.1547	0.0024	0.0057		0.2381739	0.0720	0.0011	0.0018	no value	NAN	no value	NAN	926	13	32	944	12	16	no value	NAN	291	78	21.6	5.9	95	30	no value	NAN	no value	NAN	no value	NAN	no value	NAN	6.464124	0.097	1000	21	4.26	0.47	1.488	0.033	0.046	0.1544	0.0025	0.0061	no value	NAN	6.51	0.10	0.07098	0.00061	955	17	923	14	19	925	14	34	no value	NAN	0.0015	0.0013	0.0015	0.0013	0.308	0.038	0.18	0.15	0.21	0.1434	0.0023	0.0055	no value	NAN	0.0090	0.0075	6.97	0.11	770	150	302	98	130	863	13	31	no value	NAN	FILENAME: VP-X-TS-14_46.FIN2;
TS14_40	VP-X-TS-14_47.FIN2	04/08/2012 (7) 06:58:21.24	04/08/2012 (7)	06:58:21.24	19.97	VP-X-TS-14_47.FIN2	4.70	0.11	0.12	0.3235	0.0062	0.0081		0.0773992	0.1056	0.0019	0.0024	no value	NAN	no value	NAN	1807	30	39	1768	20	21	no value	NAN	228	69	23.8	6.6	29.2	9.4	no value	NAN	no value	NAN	no value	NAN	no value	NAN	3.09119	0.059	1731	19	7.39	0.68	5.03	0.19	0.20	0.3260	0.0071	0.0093	no value	NAN	3.102	0.067	0.1108	0.0018	1806	28	1813	31	32	1815	34	45	no value	NAN	-0.0072	0.0035	-0.0072	0.0035	0.156	0.036	1.00	0.55	0.57	0.2943	0.0078	0.010	no value	NAN	0.018	0.013	3.423	0.089	1400	150	1200	130	140	1665	39	51	no value	NAN	FILENAME: VP-X-TS-14_47.FIN2;
TS14_41	VP-X-TS-14_48.FIN2	04/08/2012 (7) 06:59:41.24	04/08/2012 (7)	06:59:41.24	19.97	VP-X-TS-14_48.FIN2	1.109	0.033	0.043	0.1207	0.0021	0.0056		0.3843912	0.0654	0.0019	0.0024	no value	NAN	no value	NAN	734	12	32	755	16	21	no value	NAN	63	20	5.2	1.5	17.1	5.3	no value	NAN	no value	NAN	no value	NAN	no value	NAN	8.285004	0.15	787	37	8.22	0.91	1.064	0.027	0.035	0.1202	0.0023	0.0060	no value	NAN	8.28	0.16	0.06399	0.00051	744	18	735	13	17	733	13	34	no value	NAN	0.0018	0.0026	0.0018	0.0026	0.177	0.037	-1.68	0.41	0.54	0.0983	0.0038	0.0099	no value	NAN	-0.164	0.040	10.81	0.48	1460	200	360	220	280	603	22	58	no value	NAN	FILENAME: VP-X-TS-14_48.FIN2;
TS14_42	VP-X-TS-14_49.FIN2	04/08/2012 (7) 07:01:01.20	04/08/2012 (7)	07:01:01.20	9.9376	VP-X-TS-14_49.FIN2	5.74	0.11	0.11	0.3238	0.0055	0.0075		0.07153319	0.1280	0.0019	0.0024	no value	NAN	no value	NAN	1813	26	35	1935	16	17	no value	NAN	310	130	39	16	37	14	no value	NAN	no value	NAN	no value	NAN	no value	NAN	3.088326	0.050	2073	17	7.0	1.1	4.96	0.18	0.19	0.3178	0.0063	0.0087	no value	NAN	3.140	0.061	0.1142	0.0023	1859	36	1814	30	31	1785	30	41	no value	NAN	0.0169	0.0036	0.0169	0.0036	0.187	0.053	3.91	0.33	0.34	0.3102	0.0051	0.0070	no value	NAN	0.0915	0.0073	3.213	0.055	1540	130	1587	73	76	1744	25	34	no value	NAN	FILENAME: VP-X-TS-14_49.FIN2;
TS14_43	VP-X-TS-14_50.FIN2	04/08/2012 (7) 07:02:21.24	04/08/2012 (7)	07:02:21.24	19.97	VP-X-TS-14_50.FIN2	11.38	0.35	0.35	0.482	0.012	0.013		0.05595634	0.1696	0.0036	0.0039	no value	NAN	no value	NAN	2526	52	56	2554	28	28	no value	NAN	83	22	13.8	3.7	10.4	2.6	no value	NAN	no value	NAN	no value	NAN	no value	NAN	2.074689	0.053	2561	18	10.3	1.1	11.77	0.74	0.74	0.483	0.015	0.017	no value	NAN	2.085	0.067	0.1716	0.0052	2539	50	2522	57	57	2529	66	72	no value	NAN	0.0017	0.0080	0.0017	0.0080	0.120	0.033	-2.3	1.8	1.8	0.385	0.017	0.018	no value	NAN	-0.096	0.041	2.74	0.13	2080	190	2140	140	140	2097	80	87	no value	NAN	FILENAME: VP-X-TS-14_50.FIN2;
TS14_44	VP-X-TS-14_51.FIN2	04/08/2012 (7) 07:06:21.24	04/08/2012 (7)	07:06:21.24	19.97	VP-X-TS-14_51.FIN2	1.770	0.048	0.055	0.1840	0.0038	0.0064		0.1890359	0.0712	0.0019	0.0024	no value	NAN	no value	NAN	1088	20	35	1029	17	20	no value	NAN	125	42	9.6	3.0	19.9	6.6	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.434783	0.11	958	30	8.08	0.92	1.928	0.062	0.072	0.1849	0.0041	0.0069	no value	NAN	5.46	0.12	0.07505	0.00091	1062	25	1091	21	24	1092	22	38	no value	NAN	-0.0053	0.0027	-0.0053	0.0027	0.171	0.037	-1.72	0.44	0.51	0.1547	0.0040	0.0069	no value	NAN	-0.091	0.022	6.58	0.18	1170	220	410	180	210	926	23	38	no value	NAN	FILENAME: VP-X-TS-14_51.FIN2;
TS14_45	VP-X-TS-14_52.FIN2	04/08/2012 (7) 07:07:41.21	04/08/2012 (7)	07:07:41.21	11.107	VP-X-TS-14_52.FIN2	1.541	0.041	0.049	0.1567	0.0034	0.0062		0.2524955	0.0715	0.0012	0.0019	no value	NAN	no value	NAN	938	19	35	946	16	20	no value	NAN	560	180	37	11	160	59	no value	NAN	no value	NAN	no value	NAN	no value	NAN	6.381621	0.14	971	22	4.05	0.65	1.536	0.048	0.058	0.1565	0.0035	0.0064	no value	NAN	6.43	0.14	0.07120	0.00074	960	21	941	19	23	937	20	36	no value	NAN	0.0014	0.0015	0.0014	0.0015	0.328	0.050	0.85	0.12	0.14	0.1491	0.0029	0.0053	no value	NAN	0.0413	0.0057	6.67	0.14	670	110	601	75	91	898	17	30	no value	NAN	FILENAME: VP-X-TS-14_52.FIN2;
TS14_46	VP-X-TS-14_53.FIN2	04/08/2012 (7) 07:09:01.24	04/08/2012 (7)	07:09:01.24	19.97	VP-X-TS-14_53.FIN2	4.86	0.10	0.10	0.3088	0.0059	0.0079		0.08284618	0.11467	0.00077	0.0017	no value	NAN	no value	NAN	1735	29	39	1791	17	18	no value	NAN	1420	420	152	45	340	100	no value	NAN	no value	NAN	no value	NAN	no value	NAN	3.238342	0.061	1873.8	7.2	5.44	0.53	4.52	0.15	0.16	0.3059	0.0063	0.0085	no value	NAN	3.281	0.066	0.1072	0.0015	1747	26	1724	29	30	1717	31	42	no value	NAN	0.0090	0.0020	0.0090	0.0020	0.225	0.039	4.38	0.10	0.11	0.3050	0.0059	0.0078	no value	NAN	0.1037	0.0012	3.292	0.062	1693	23	1705	19	20	1716	29	39	no value	NAN	FILENAME: VP-X-TS-14_53.FIN2;
TS14_47	VP-X-TS-14_55.FIN2	04/08/2012 (7) 07:11:42.24	04/08/2012 (7)	07:11:42.24	19.97	VP-X-TS-14_55.FIN2	0.917	0.040	0.049	0.1020	0.0020	0.0056		0.5382545	0.0662	0.0029	0.0032	no value	NAN	no value	NAN	626	12	33	656	22	26	no value	NAN	42	11	2.83	0.75	12.5	3.2	no value	NAN	no value	NAN	no value	NAN	no value	NAN	9.803922	0.19	816	56	12.2	1.3	0.845	0.022	0.027	0.1016	0.0021	0.0059	no value	NAN	9.78	0.20	0.06119	0.00049	642	17	622	12	14	624	12	35	no value	NAN	0.0054	0.0037	0.0054	0.0037	0.117	0.033	-4.03	0.60	0.73	0.0609	0.0051	0.014	no value	NAN	-0.34	0.25	15.9	3.7	2220	350	570	370	460	381	31	89	no value	NAN	FILENAME: VP-X-TS-14_55.FIN2;
TS14_48	VP-X-TS-14_57.FIN2	04/08/2012 (7) 07:15:42.19	04/08/2012 (7)	07:15:42.19	8.9633	VP-X-TS-14_57.FIN2	6.14	0.13	0.14	0.3640	0.0068	0.0086		0.06490762	0.1247	0.0019	0.0024	no value	NAN	no value	NAN	2008	31	39	1996	19	19	no value	NAN	650	280	79	33	111	45	no value	NAN	no value	NAN	no value	NAN	no value	NAN	2.747253	0.046	2016	17	4.10	0.70	6.21	0.23	0.24	0.3644	0.0074	0.0093	no value	NAN	2.738	0.053	0.1253	0.0021	2036	28	2006	31	31	2001	35	44	no value	NAN	-0.0013	0.0031	-0.0013	0.0031	0.320	0.056	5.19	0.27	0.28	0.3572	0.0070	0.0088	no value	NAN	0.1074	0.0045	2.802	0.051	1730	80	1844	47	48	1968	33	42	no value	NAN	FILENAME: VP-X-TS-14_57.FIN2;
TS14_49	VP-X-TS-14_58.FIN2	04/08/2012 (7) 07:17:02.25	04/08/2012 (7)	07:17:02.25	10.717	VP-X-TS-14_58.FIN2	1.079	0.038	0.047	0.1270	0.0029	0.0060		0.3720007	0.0634	0.0021	0.0026	no value	NAN	no value	NAN	770	16	34	744	19	23	no value	NAN	128	48	8.3	3.5	59	29	no value	NAN	no value	NAN	no value	NAN	no value	NAN	7.874016	0.17	725	45	6.4	1.0	1.135	0.034	0.042	0.1277	0.0029	0.0062	no value	NAN	7.86	0.18	0.06461	0.00071	761	23	771	16	20	774	17	35	no value	NAN	-0.0024	0.0027	-0.0024	0.0027	0.200	0.052	-0.22	0.30	0.37	0.1152	0.0032	0.0067	no value	NAN	-0.018	0.019	8.74	0.26	1310	300	10	240	300	702	19	39	no value	NAN	FILENAME: VP-X-TS-14_58.FIN2;
TS14_50	VP-X-TS-14_60.FIN2	04/08/2012 (7) 07:19:42.24	04/08/2012 (7)	07:19:42.24	19.97	VP-X-TS-14_60.FIN2	1.166	0.052	0.059	0.1280	0.0036	0.0064		0.390625	0.0665	0.0029	0.0033	no value	NAN	no value	NAN	781	21	37	773	25	28	no value	NAN	83	38	4.5	2.3	23	11	no value	NAN	no value	NAN	no value	NAN	no value	NAN	7.8125	0.22	856	48	11.9	1.4	1.160	0.045	0.051	0.1286	0.0038	0.0068	no value	NAN	7.83	0.23	0.06557	0.00074	790	24	777	21	24	778	22	38	no value	NAN	-0.0003	0.0038	-0.0003	0.0038	0.135	0.034	-1.46	0.54	0.61	0.1031	0.0057	0.010	no value	NAN	-0.199	0.065	10.81	0.77	1770	250	580	180	200	632	34	59	no value	NAN	FILENAME: VP-X-TS-14_60.FIN2;
TS14_51	VP-X-TS-14_61.FIN2	04/08/2012 (7) 07:23:42.24	04/08/2012 (7)	07:23:42.24	19.97	VP-X-TS-14_61.FIN2	1.032	0.023	0.036	0.1200	0.0016	0.0054		 0.375	0.0621	0.0012	0.0019	no value	NAN	no value	NAN	730.3	9.2	31	720	11	18	no value	NAN	230	94	13.6	5.2	72	27	no value	NAN	no value	NAN	no value	NAN	no value	NAN	8.333333	0.11	698	22	5.35	0.58	1.060	0.020	0.031	0.1202	0.0017	0.0057	no value	NAN	8.35	0.11	0.06380	0.00040	734	13	732.8	9.7	15	731.2	9.6	33	no value	NAN	-0.0018	0.0015	-0.0018	0.0015	0.243	0.039	0.18	0.17	0.26	0.1113	0.0022	0.0075	no value	NAN	0.006	0.011	9.03	0.18	950	150	310	100	160	681	13	43	no value	NAN	FILENAME: VP-X-TS-14_61.FIN2;
TS14_52	VP-X-TS-14_64.FIN2	04/08/2012 (7) 07:27:42.24	04/08/2012 (7)	07:27:42.24	19.97	VP-X-TS-14_64.FIN2	1.99	0.12	0.13	0.1183	0.0033	0.0061		0.4358734	0.1207	0.0070	0.0071	no value	NAN	no value	NAN	720	19	35	1096	42	43	no value	NAN	-6	20	0.8	2.0	1.9	8.3	no value	NAN	no value	NAN	no value	NAN	no value	NAN	8.453085	0.24	1982	80	34.2	3.2	0.964	0.038	0.039	0.1089	0.0034	0.0063	no value	NAN	9.22	0.29	0.06391	0.00073	731	23	678	20	20	665	20	36	no value	NAN	0.0717	0.0089	0.0717	0.0089	0.0	1.0	-2.58	0.95	0.98	0.0802	0.0080	0.015	no value	NAN	-0.25	0.37	12.9	4.1	2640	190	1230	180	190	495	48	88	no value	NAN	FILENAME: VP-X-TS-14_64.FIN2;
TS14_53	VP-X-TS-14_67.FIN2	04/08/2012 (7) 07:33:02.24	04/08/2012 (7)	07:33:02.24	19.97	VP-X-TS-14_67.FIN2	2.866	0.082	0.087	0.2344	0.0041	0.0066		0.1201237	0.0881	0.0018	0.0024	no value	NAN	no value	NAN	1356	21	35	1373	22	23	no value	NAN	90	72	8.3	6.1	14	11	no value	NAN	no value	NAN	no value	NAN	no value	NAN	4.266212	0.075	1374	28	6.07	0.71	2.823	0.086	0.091	0.2336	0.0043	0.0070	no value	NAN	4.309	0.082	0.0868	0.0011	1350	24	1356	22	24	1354	23	37	no value	NAN	0.0006	0.0025	0.0006	0.0025	0.234	0.039	1.51	0.29	0.31	0.2235	0.0046	0.0074	no value	NAN	0.0473	0.0089	4.495	0.092	1320	140	970	100	110	1303	24	39	no value	NAN	FILENAME: VP-X-TS-14_67.FIN2;
TS14_54	VP-X-TS-14_68.FIN2	04/08/2012 (7) 07:34:23.24	04/08/2012 (7)	07:34:23.24	19.97	VP-X-TS-14_68.FIN2	5.51	0.20	0.20	0.3329	0.0081	0.0097		0.08752742	0.1214	0.0040	0.0043	no value	NAN	no value	NAN	1847	39	46	1903	30	30	no value	NAN	43	36	5.7	4.8	15	11	no value	NAN	no value	NAN	no value	NAN	no value	NAN	3.003905	0.073	1971	31	11.9	1.3	5.28	0.28	0.28	0.3288	0.0098	0.012	no value	NAN	3.082	0.092	0.1153	0.0027	1873	41	1839	44	44	1826	47	56	no value	NAN	0.0064	0.0063	0.0064	0.0063	0.123	0.033	-0.9	1.5	1.5	0.285	0.013	0.015	no value	NAN	-0.01	0.17	3.51	0.64	2290	190	1690	200	200	1617	68	81	no value	NAN	FILENAME: VP-X-TS-14_68.FIN2;
TS14_55	VP-X-TS-14_70.FIN2	04/08/2012 (7) 07:37:03.24	04/08/2012 (7)	07:37:03.24	19.97	VP-X-TS-14_70.FIN2	6.39	0.11	0.12	0.3851	0.0062	0.0081		0.05461828	0.1226	0.0015	0.0021	no value	NAN	no value	NAN	2100	29	38	2033	16	16	no value	NAN	640	200	80	24	72	24	no value	NAN	no value	NAN	no value	NAN	no value	NAN	2.596728	0.041	2004	13	5.59	0.63	6.94	0.24	0.24	0.3887	0.0072	0.0095	no value	NAN	2.581	0.047	0.1290	0.0020	2082	27	2100	31	32	2118	34	44	no value	NAN	-0.0088	0.0028	-0.0088	0.0028	0.251	0.039	5.59	0.22	0.23	0.3775	0.0061	0.0081	no value	NAN	0.1102	0.0035	2.664	0.044	1800	54	1897	37	38	2065	29	38	no value	NAN	FILENAME: VP-X-TS-14_70.FIN2;
TS14_56	VP-X-TS-14_72.FIN2	04/08/2012 (7) 07:42:23.24	04/08/2012 (7)	07:42:23.24	19.97	VP-X-TS-14_72.FIN2	0.820	0.063	0.068	0.0995	0.0031	0.0061		0.6161461	0.0590	0.0045	0.0048	no value	NAN	no value	NAN	612	18	35	600	34	37	no value	NAN	13.5	8.1	4.1	2.7	15	11	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.05025	0.32	835	82	19.6	2.3	0.821	0.035	0.038	0.0982	0.0034	0.0066	no value	NAN	10.19	0.34	0.06055	0.00073	625	22	607	19	21	605	20	38	no value	NAN	-0.0022	0.0059	-0.0022	0.0059	0.0	1.0	-2.9	1.4	1.6	0.069	0.013	0.024	no value	NAN	-0.15	0.32	13.8	7.0	3270	190	1590	190	210	414	77	150	no value	NAN	FILENAME: VP-X-TS-14_72.FIN2;
